City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
312,Faanui,PF,81.61,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,Gwadar,PK,83.44,clear sky,25.1216,62.3254,Sadaf Resort
316,Hobyo,SO,83.01,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
317,Kainantu,PG,76.68,overcast clouds,-6.2887,145.8655,Sylvester buku
321,Georgetown,MY,87.73,light rain,5.4112,100.3354,Cititel Penang
322,Attock,PK,81.55,clear sky,33.7695,72.3611,COMSATS hostel Ahmed Plaza Attock
324,Matara,LK,81.75,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
328,Malanville,BJ,88.83,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
329,Bubaque,GW,77.07,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
331,Dicabisagan,PH,85.95,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
338,Dalbandin,PK,80.44,overcast clouds,28.8947,64.4101,Sanjrani House
339,Kontagora,NG,82.69,overcast clouds,10.3999,5.4695,Queens Guest Inn
342,Sabang,ID,84.34,overcast clouds,5.8933,95.3214,Hotel Citra
349,Port Macquarie,AU,76.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
360,Temerloh,MY,83.14,broken clouds,3.4483,102.4176,U Design Hotel Temerloh
368,Cayhagan,PH,84.42,scattered clouds,9.6697,122.4256,Melrose Beach Resort
370,Guarapari,BR,75.88,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
376,Cabedelo,BR,78.58,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
377,Bol,TD,82.36,broken clouds,13.4586,14.7147,Harrouni camp de passage
381,Mattru,SL,76.8,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
385,Bathsheba,BB,77.0,overcast clouds,13.2167,-59.5167,Atlantis Hotel
386,Koumac,NC,77.18,overcast clouds,-20.5667,164.2833,Le Monitel
388,San Miguel,SV,81.72,overcast clouds,13.4833,-88.1833,Excalibur
390,Port Blair,IN,85.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
394,Pitimbu,BR,78.94,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
397,Marawi,PH,80.26,scattered clouds,7.9986,124.2928,Derogongan Residence
399,Isangel,VU,78.73,overcast clouds,-19.55,169.2667,Tanna Lodge
404,Porto Novo,BJ,78.58,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
408,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
416,Qeshm,IR,78.49,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
426,Chateaubelair,VC,76.55,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
432,Remanso,BR,76.5,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
437,Bassila,BJ,75.49,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
445,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
447,Tomatlan,MX,75.36,clear sky,19.9333,-105.25,El Salvial
450,Caborca,MX,77.77,clear sky,30.5838,-111.101,Hotel Los Lagos
456,Finschhafen,PG,86.72,moderate rain,-6.6024,147.8681,Cossam Guest House
461,Bowen,AU,80.91,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
464,Port Augusta,AU,79.63,clear sky,-32.5,137.7667,Majestic Oasis Apartments
471,Bhimunipatnam,IN,83.71,scattered clouds,17.8833,83.4333,Bheemili Court
476,Kerema,PG,84.34,broken clouds,-7.9631,145.7785,Frena Lodge
477,Mecca,SA,82.0,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
479,Sibolga,ID,81.48,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
483,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
485,Vieux Fort,LC,77.77,overcast clouds,13.7167,-60.95,Cedar Palm Villa
486,Carmen,MX,78.84,scattered clouds,18.6333,-91.8333,Hotel Lossandes
501,Ixtapa,MX,77.23,clear sky,20.7,-105.2,hotel la terminal
504,San Policarpo,PH,82.38,overcast clouds,12.1791,125.5072,Agapita M. Nicart
506,Cairns,AU,89.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
507,Mayumba,GA,77.07,overcast clouds,-3.432,10.6554,LIKWALE LODGE
513,Tabuk,PH,87.48,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
518,Mulege,MX,75.16,clear sky,26.8833,-111.9833,Casa Granada
519,Trairi,BR,76.77,overcast clouds,-3.2778,-39.2689,janelas do mar
523,Natal,BR,77.58,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
535,Estacion Coahuila,MX,82.33,clear sky,32.1939,-115.0017,Hotel Las Cabañas
540,Manali,IN,84.29,clear sky,13.1667,80.2667,Sarathy Lodge
548,Kon Tum,VN,85.28,overcast clouds,14.35,108.0,Hoa đà spa- homestay
550,Acarau,BR,77.29,overcast clouds,-2.8856,-40.12,castelo pizzaria
553,Akyab,MM,84.88,clear sky,20.15,92.9,Hotel Memory
561,Conceicao Do Araguaia,BR,77.05,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
566,Port-Gentil,GA,79.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
577,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
580,Chau Doc,VN,89.82,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
582,Maua,BR,76.35,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
588,Islamkot,PK,79.52,clear sky,24.6997,70.177,Haji Hotel
596,Kuching,MY,86.22,scattered clouds,1.55,110.3333,Hilton Kuching
598,Imbituba,BR,75.85,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
602,La Paz Centro,NI,83.89,overcast clouds,12.34,-86.6753,Quinta Momotombo
608,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
615,Porto Velho,BR,77.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
617,Tuensang,IN,79.77,clear sky,26.2833,94.8333,B.W.D Resthouse.
630,Salinopolis,BR,78.49,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
633,Arroyos Y Esteros,PY,83.95,broken clouds,-25.0667,-57.1,GPM
635,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
636,Ugoofaaru,MV,84.6,broken clouds,5.6667,73.0,Ungoofaaru Inn
640,Aswan,EG,78.58,clear sky,24.0934,32.907,Nuba Nile
642,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
643,Kawalu,ID,82.36,overcast clouds,-7.3817,108.2082,West Jontor
644,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
647,Chetumal,MX,77.36,overcast clouds,18.5,-88.3,Hotel & Suites Arges - - Pet Friendly
651,Sampit,ID,87.03,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
653,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
654,Muli,MV,83.91,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
657,Hambantota,LK,83.23,few clouds,6.1241,81.1185,Bungalow 63
658,Kahului,US,76.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
662,Tautira,PF,80.89,light rain,-17.7333,-149.15,Pension Oaoa
664,Odweyne,SO,77.13,overcast clouds,9.4092,45.064,Eng Hiirey House
665,Porlamar,VE,77.05,broken clouds,10.958,-63.8491,Hotel Bella Vista
673,Kaohsiung,TW,85.95,broken clouds,22.6163,120.3133,御宿商旅-中山館
679,Karratha,AU,78.39,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
683,Acapulco,MX,80.94,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
685,Nha Trang,VN,89.6,broken clouds,12.25,109.1833,Hanoi Golden Hotel
689,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
691,Kencong,ID,79.34,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
694,Sawtell,AU,75.22,broken clouds,-30.3833,153.1,The Bungalow Sawtell
701,Phangnga,TH,87.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
702,Moranbah,AU,79.12,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
704,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
705,Tual,ID,84.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
706,Bintulu,MY,84.18,broken clouds,3.1667,113.0333,900 Boutique INN
